no_id;received_on;items_id;faculty;name_items;size_s;size_m;size_l;size_xl;size_xxl;size_xxxl;over_size;total_units;remaining;price by item
1;2025-08-28 00:00:00;1;FIKES;Kain Putih;;;;;;;;150;0;Rp 30.000
2;2025-08-28 00:00:00;2;FIKES;Ners Kit;;;;;;;;150;0;Rp 45.000
3;2025-08-28 00:00:00;3;FIKES;Kain Batik;;;;;;;;163;0;Rp 100.000
4;2025-09-04 00:00:00;1;FIKES;Kain Putih;;;;;;;;168;0;Rp 30.000
5;2025-09-04 00:00:00;4;FIKES;Kain Pink Telisir Batik;;;;;;;;42;0;Rp 135.000
6;2025-09-04 00:00:00;5;FIKES;Kain Pink OK;;;;;;;;42;0;Rp 60.000
7;2025-09-04 00:00:00;6;FIKES;Kain Merah Telisir Batik;;;;;;;;126;0;Rp 135.000
8;2025-09-04 00:00:00;7;FIKES;Kain Merah OK;;;;;;;;126;0;Rp 60.000
9;2025-09-04 00:00:00;8;FIKES;Jas Almamater;;32;71;42;18;;;163;0;Rp 180.000
10;2025-09-04 00:00:00;9;FIKES;Jas Laboratory;;32;71;42;18;;;163;0;Rp 200.000
11;2025-09-10 00:00:00;10;FIKES;Tas MABA;;;;;;;;150;0;Rp 120.000
12;2025-09-10 00:00:00;11;FIKES;Bet Profesi Ners Kecil;;;;;;;;139;0;Rp 7.000
13;2025-09-10 00:00:00;12;FIKES;Bet Profesi Ners Besar;;;;;;;;125;0;Rp 8.500
14;2025-09-10 00:00:00;13;FIKES;Bet Profesi Bidan;;;;;;;;20;0;Rp 7.000
15;2025-09-10 00:00:00;14;FEBI/FIKES;Bet Logo UBS;;;;;;;;362;68;Rp 8.000
16;2025-09-11 00:00:00;10;FEBI;Tas MABA;;;;;;;;127;0;Rp 120.000
17;2025-09-18 00:00:00;8;FIKES;Jas Almamater;;;8;;1;3;1;13;0;Rp 180.000
18;2025-09-19 00:00:00;10;FIKES;Tas MABA;;;;;;;;50;0;Rp 120.000
19;2025-09-19 00:00:00;1;FIKES;Kain Putih;;;;;;;;13;0;Rp 30.000
20;2025-09-19 00:00:00;6;FIKES;Kain Merah Telisir Batik;;;;;;;;13;0;Rp 135.000
21;2025-09-19 00:00:00;7;FIKES;Kain Merah OK;;;;;;;;13;0;Rp 60.000
22;2025-09-19 00:00:00;8;FIKES;Jas Almamater;;;3;5;;;;8;0;Rp 180.000
23;2025-09-23 00:00:00;9;FIKES;Jas Laboratory;6;25;38;28;11;17;4;129;0;Rp 200.000
24;2025-09-23 00:00:00;15;FIKES;Jas Laboratory Bidan;;15;13;14;10;1;;53;0;Rp 210.000
25;2025-09-25 00:00:00;15;FIKES;Jas Laboratory Bidan;;;53;;;;;53;0;Rp 210.000
26;2025-09-25 00:00:00;11;FIKES;Bet Profesi Ners Kecil;;;;;;;;30;0;Rp 7.000
27;2025-09-25 00:00:00;14;FEBI;Bet Logo UBS;;;;;;;;30;0;Rp 8.000
28;2025-10-06 00:00:00;16;FIKES;Kaos Olahraga;;49;53;37;17;13;;169;9;Rp 50.000
29;2025-10-06 00:00:00;3;FEBI;Kain Batik;;;;;;;;70;0;Rp 100.000
30;2025-10-06 00:00:00;11;FIKES;Bet Profesi Ners Kecil;;;;;;;;30;9;Rp 7.000
31;2025-10-06 00:00:00;14;FIKES;Bet Logo UBS;;;;;;;;30;0;Rp 8.000
32;2025-10-13 00:00:00;18;FIKES;Jas Almamater S2;;;6;6;4;;;16;0;Rp 210.000
33;2025-10-13 00:00:00;8;FEBI;Jas Almamater;16;18;12;1;7;;;54;0;Rp 180.000
34;2025-10-14 00:00:00;19;FIKES;Kaos Profesi Bidan;;10;20;12;;;;42;0;Rp 75.000
35;2025-10-14 00:00:00;20;FIKES;Kaos Profesi Ners;;;30;;10;;;40;0;Rp 75.000
36;2025-10-16 00:00:00;1;FIKES;Kain Putih;;;;;;;;44;22;Rp 30.000
37;2025-10-16 00:00:00;3;FEBI;Kain Batik;;;;;;;;6;0;Rp 100.000
38;2025-10-21 00:00:00;8;FEBI;Jas Almamater;3;8;68;35;23;3;2;142;12;Rp 180.000
39;2025-10-21 00:00:00;9;FIKES;Jas Laboratory;;7;7;8;4;1;;27;0;Rp 200.000
40;2025-10-21 00:00:00;20;FIKES;Kaos Profesi Ners;6;28;14;42;11;5;;106;0;Rp 75.000
41;2025-10-23 00:00:00;10;FEBI;Tas MABA;;;;;;;;65;16;Rp 120.000
42;2025-10-23 00:00:00;9;FIKES;Jas Laboratory;;28;57;13;5;;1;104;41;Rp 200.000
43;2025-10-27 00:00:00;17;FIKES;Celana Olahraga;;49;53;37;17;13;;169;0;Rp 35.000
44;2025-11-24 00:00:00;16;FEBI;Kaos Olahraga;;21;42;29;1;;;93;0;Rp 50.000
45;2025-11-24 00:00:00;17;FEBI;Celana Olahraga;;21;42;29;1;;;93;0;Rp 35.000
46;2025-12-16 00:00:00;3;FEBI;Kain Batik;;;;;;;;30;24;Rp 100.000
47;2025-12-16 00:00:00;20;FIKES;Kaos Profesi Ners;1;1;;;;1;2;5;0;Rp 75.000
48;2025-12-16 00:00:00;14;FEBI;Bet Logo UBS;;;;;;;;7;0;Rp 8.000
